S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Value in ₹
45,05-Jul-2024 6:00 PM,11-Jul-2024 2:50 PM,12-Jul-2024 3:00 PM,[Repair and Up-gradation of booking counter at Purana Qila New Delhi] [13/01/2024-W][2024_ASI_814958_1],Archaeological Survey of India||O/o SA-ASI-Delhi Circle-Delhi,"45,71,111"
62,05-Jul-2024 6:00 PM,11-Jul-2024 2:50 PM,12-Jul-2024 3:00 PM,[Maintenance and Upgradation of CA Office at Hauz Khas Fort New Delhi] [13/22/2024-W][2024_ASI_814951_1],Archaeological Survey of India||O/o SA-ASI-Delhi Circle-Delhi,"6,26,255"
68,05-Jul-2024 6:00 PM,11-Jul-2024 2:50 PM,12-Jul-2024 3:00 PM,[Repair and Up-gradation of booking counter at Purana Qila New Delhi] [13/01/2024-W][2024_ASI_814958_1],Archaeological Survey of India||O/o SA-ASI-Delhi Circle-Delhi,"45,71,111"
40,05-Jul-2024 6:00 PM,18-Jul-2024 12:00 PM,19-Jul-2024 12:30 PM,[Minor Civil and Electric Work (Museum) Repairing of portrait paintings (Recall)] [13/2024-25/Museum/Goa Circle/Old Goa][2024_ASI_815180_1],Archaeological Survey of India||O/o SA-ASI-Goa Circle-Goa,"5,12,560"
67,05-Jul-2024 6:00 PM,18-Jul-2024 12:00 PM,19-Jul-2024 12:30 PM,[Minor Civil and Electric Work (Museum) Repairing of portrait paintings (Recall)] [13/2024-25/Museum/Goa Circle/Old Goa][2024_ASI_815180_1],Archaeological Survey of India||O/o SA-ASI-Goa Circle-Goa,"5,12,560"
5,05-Jul-2024 6:55 PM,25-Jul-2024 12:00 PM,26-Jul-2024 12:30 PM,"[SUPPLY OF MATERIAL FOR THE WORK OF CDW TO CONSERVATION AND RESTORATION OF AMBARKHANA FOR INTERPRETATION CENTRE AT SHIVNERI FORT, JUNNAR, DIST-PUNE. (F.Y.2021-2022). AS SPECIFIED IN THE BOQ. (RECALL-I). ] [West/Mumb/Junn/Shiv/5187710][2024_ASI_815251_1]",Archaeological Survey of India||O/o SA-ASI-Mumbai Circle-Mumbai,"60,20,382"
59,05-Jul-2024 6:00 PM,25-Jul-2024 3:00 PM,26-Jul-2024 3:30 PM,[AM and UK of garden under Vikramshila SubCircle 2024-25] [H-11/30/Jun/24/20278403/HOR][2024_ASI_815105_1],Archaeological Survey of India||O/o SA-ASI-Patna Circle-Patna,"49,89,658"
13,05-Jul-2024 6:35 PM,19-Jul-2024 10:30 AM,20-Jul-2024 11:00 AM,[Repair and maint false ceiling and periodical services of officers mess bldg. No. 95 of HQ 7 Sect AR] [File No Engr/2818/7 Sect/2024-25/826][2024_ARMHA_815246_1],Assam Rifles - MHA,NA
53,05-Jul-2024 6:00 PM,20-Aug-2024 3:00 PM,23-Aug-2024 3:30 PM,"[Const. of Precast Panel Boundary wall from R-5 Gate to DEED corner via. Jetty, const. of 4 new RCC Watch Towers, dismantling of 5 old Watch Towers, replacement of SS railing to 18 Watch Towers along Sea side from TVS to South Side, on Trombay Hill, ] [BARC/CED/ET/6/2024-2025 Dated 18.06.2024][2024_BARC_815069_1]",Bhabha Atomic Research Centre||Bhabha Atomic Research Centre Mumbai||Civil Engineering Division,"12,56,90,000"
69,05-Jul-2024 5:55 PM,25-Jul-2024 4:00 PM,26-Jul-2024 4:30 PM,"[FOR CARRYING OUT VARIOUS PIPING WORK AS PER STANDARD SPECIFICATION BY PROVIDING ALL REQUIRED MATERIALS IN CONNECTION WITH COMPOSITE WORK FOR UNITS (AVU,SULPHUR BLOC,PRU AND COMMON MUG COMPRESSOR UNIT) (PART A, B AND C)FOR PANIPAT REFINERY EXP.PROJECT] [BANDR/HO/71149 / PIPING/SC/NIT/02][2024_BandR_815216_1]",Bridge and Roof Company (India) Limited||Corporate Head Quarters Kolkata Office - B and R,"23,00,30,322"
88,05-Jul-2024 5:00 PM,29-Jul-2024 2:30 PM,30-Jul-2024 3:00 PM,[e TENDER FOR PROVIDING UNINTERRUPTED POWER SUPPLY TO SIGNAL STATION AT CHENNAI PORT AUTHORITY UNDER TWO COVER SYSTEM] [MEE / 21 / 2024 / Dy.CME (ES) ][2024_ChPT_815187_1],"Chennai Port Trust||Mechanical and Electrical Engineering,ChPT||ES and CH,MEE Dept.,ChPT","58,85,000"
92,05-Jul-2024 5:00 PM,29-Jul-2024 2:30 PM,30-Jul-2024 3:00 PM,[e TENDER FOR PROVIDING UNINTERRUPTED POWER SUPPLY TO SIGNAL STATION AT CHENNAI PORT AUTHORITY UNDER TWO COVER SYSTEM] [MEE / 21 / 2024 / Dy.CME (ES) ][2024_ChPT_815187_1],"Chennai Port Trust||Mechanical and Electrical Engineering,ChPT||ES and CH,MEE Dept.,ChPT","58,85,000"
15,05-Jul-2024 6:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,[Management Services to DRDO Transit Facility for officers at MLC Dhamra] [CCEESTS/ENQ/CHP/TF-04/ 137/2024-25][2024_DRDO_815245_1],Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
19,05-Jul-2024 6:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,"[MANAGEMENT SERVICES TO DRDO TRANSIT FACILITIES AT SUNABEDA, KORAPUT] [CCE(EST)S/ENQ/MAINT/74/TF-6/ JPR/2024-25][2024_DRDO_815238_1]",Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
78,05-Jul-2024 5:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,"[MANAGEMENT SERVICES TO CIDCO AND DRDO TRANSIT FACILITY AT AMBE HILL, OJHAR AT NASIK] [CCE(EST)S/ENQ/213/TF-2/ NSK/2024-25][2024_DRDO_815196_1]",Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
80,05-Jul-2024 5:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,"[MANAGEMENT SERVICES TO DRDO TRANSIT FACILITIES FOR OFFICERS AND NGOS AT NSTL, VISAKHAPATNAM] [CCE(EST)S/ENQ/212/TF-3/ JPR/2024-25][2024_DRDO_815223_1]",Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
82,05-Jul-2024 5:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,"[MANAGEMENT SERVICES TO CIDCO AND DRDO TRANSIT FACILITY AT AMBE HILL, OJHAR AT NASIK] [CCE(EST)S/ENQ/213/TF-2/ NSK/2024-25][2024_DRDO_815196_1]",Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
83,05-Jul-2024 5:30 PM,26-Jul-2024 2:00 PM,29-Jul-2024 2:00 PM,"[MANAGEMENT SERVICES TO DRDO TRANSIT FACILITIES FOR OFFICERS AND NGOS AT NSTL, VISAKHAPATNAM] [CCE(EST)S/ENQ/212/TF-3/ JPR/2024-25][2024_DRDO_815223_1]",Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer(R and D)Estates - DRDO,NA
85,05-Jul-2024 5:10 PM,11-Jul-2024 11:30 AM,12-Jul-2024 11:30 AM,[M/o Completed scheme of Nazul A/c-II under SWZ.] [42/EE/HCD-8/DDA/2024-25][2024_DDA_815208_1],Delhi Development Authority||CE-Dwarka Zone-DDA||EE-WD-2-Janak Puri-DDA,"9,80,141"
41,05-Jul-2024 6:00 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,[M/O Pump sets and E.I at various places in Dwarka.] [08/EE/ELD-12/DDA/2024-25][2024_DDA_815212_1],Delhi Development Authority||CE-Electrical-DDA||EE(El)/ED-12-Dwarka-DDA,"28,27,228"
4,05-Jul-2024 6:55 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,"[Maintenance of completed schemes of Nazul A/C II, South Zone ] [08/EE/ELD-6/DDA/NIT/2024-25][2024_DDA_815259_1]",Delhi Development Authority||CE-Electrical-DDA||EE(El)/ED-6-Vasant Kunj-DDA,"10,36,262"
6,05-Jul-2024 6:50 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,[Maintenance of Various colonies under South Zone. ] [07/EE/ELD-6/DDA/NIT/2024-25][2024_DDA_815256_1],Delhi Development Authority||CE-Electrical-DDA||EE(El)/ED-6-Vasant Kunj-DDA,"2,18,136"
11,05-Jul-2024 6:40 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,"[Maintenance of Completed Schemes of Nazul account II, South Zone ] [05/EE/ELD-6/DDA/NIT/2024-25][2024_DDA_815249_1]",Delhi Development Authority||CE-Electrical-DDA||EE(El)/ED-6-Vasant Kunj-DDA,"14,97,702"
12,05-Jul-2024 6:40 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,"[M/o completed schemes under Nazul A/C -II, South Zone] [06/EE/ELD-6/DDA/NIT/2024-25][2024_DDA_815253_1]",Delhi Development Authority||CE-Electrical-DDA||EE(El)/ED-6-Vasant Kunj-DDA,"16,65,176"
44,05-Jul-2024 6:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:30 PM,"[D/o land at Sector G2/G6, Narela sub city.] [08/EE/NPD-6/DDA/2024-25][2024_DDA_815217_1]",Delhi Development Authority||CE-Rohini Zone-DDA||EE(RPD-7)-Madhuban Chowk-Sec-14-Rohini-DDA,"13,53,25,969"
58,05-Jul-2024 6:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:30 PM,"[D/o land at Sector G2/G6, Narela sub city.] [08/EE/NPD-6/DDA/2024-25][2024_DDA_815217_1]",Delhi Development Authority||CE-Rohini Zone-DDA||EE(RPD-7)-Madhuban Chowk-Sec-14-Rohini-DDA,"13,53,25,969"
90,05-Jul-2024 5:00 PM,16-Jul-2024 3:00 PM,17-Jul-2024 3:30 PM,[M/o completed scheme under Nazul AC-II Narela Zone.] [04/EE/NPD-7/DDA/2024-25][2024_DDA_815192_1],Delhi Development Authority||CE-Rohini Zone-DDA||EE(RPD-8)-Madhuban Chowk-Sec-14-Rohini-DDA,"1,88,41,007"
99,05-Jul-2024 5:00 PM,16-Jul-2024 3:00 PM,17-Jul-2024 3:30 PM,[M/o completed scheme under Nazul AC-II Narela Zone.] [04/EE/NPD-7/DDA/2024-25][2024_DDA_815192_1],Delhi Development Authority||CE-Rohini Zone-DDA||EE(RPD-8)-Madhuban Chowk-Sec-14-Rohini-DDA,"1,88,41,007"
87,05-Jul-2024 5:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 11:30 AM,"[M/o Various Sports Complexes/Golf Courses (A/R and M/O of works at RSC for the year 2024-25) Sh- Laying of 2 Nos. Outdoor badminton Courts, Mini basketball court by providing acrylic surfacing at Rohini Sports Complex.(Specialized work)] [03/NIT/AE(P)/EE/SMC/DDA/24-25 ][2024_DDA_815194_1]",Delhi Development Authority||Commissioner (Sports)-DDA||Sports Management Cell - DDA,"25,59,719"
100,05-Jul-2024 5:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 11:30 AM,"[M/o Various Sports Complexes/Golf Courses (A/R and M/O of works at RSC for the year 2024-25) Sh- Laying of 2 Nos. Outdoor badminton Courts, Mini basketball court by providing acrylic surfacing at Rohini Sports Complex.(Specialized work)] [03/NIT/AE(P)/EE/SMC/DDA/24-25 ][2024_DDA_815194_1]",Delhi Development Authority||Commissioner (Sports)-DDA||Sports Management Cell - DDA,"25,59,719"
2,05-Jul-2024 6:55 PM,13-Jul-2024 3:00 PM,15-Jul-2024 3:30 PM,"[M.O. scheme under N. Ac II, Rohini. MO various Tot Lot Parks and green belts at Sector 35 and sector 30 Rohini. SH Annual job contract for the complete maintenance of lawn and wood land at site.] [54/DD/Hort.-V/DDA/2024-25][2024_DDA_815252_1]",Delhi Development Authority||Dir-Horticulture (North West)-DDA||Dy Director (Hort Div no-5)-Rohini-DDA,"42,05,266"
32,05-Jul-2024 6:00 PM,07-Aug-2024 2:00 PM,08-Aug-2024 2:30 PM,[Special repair of Civil Works from Harkesh Nagar Okhla to Raja Nahar Singh Stations of Line-6 South.] [OCW-1643][2024_DMRC_814926_1],Delhi Metro Rail Corporation Limited||CE/Tender (O and M) - DMRC,"6,87,67,000"
65,05-Jul-2024 6:00 PM,07-Aug-2024 2:00 PM,08-Aug-2024 2:30 PM,[Special repair of Civil Works from Harkesh Nagar Okhla to Raja Nahar Singh Stations of Line-6 South.] [OCW-1643][2024_DMRC_814926_1],Delhi Metro Rail Corporation Limited||CE/Tender (O and M) - DMRC,"6,87,67,000"
25,05-Jul-2024 6:00 PM,22-Jul-2024 1:00 PM,23-Jul-2024 1:00 PM,"[Repair of water supply line and toilet bath fittings at various flat at (29-31) Probyn Road, University of Delhi.] [CEET-5752][2024_DU_815042_1]",Delhi University||Central Office - DU||Engineering - DU,"59,060"
35,05-Jul-2024 6:00 PM,22-Jul-2024 1:00 PM,23-Jul-2024 1:00 PM,"[Repair of water supply line and toilet bath fittings at various flat at (29-31) Probyn Road, University of Delhi.] [CEET-5752][2024_DU_815042_1]",Delhi University||Central Office - DU||Engineering - DU,"59,060"
36,05-Jul-2024 6:00 PM,23-Jul-2024 1:00 PM,24-Jul-2024 1:00 PM,"[Providing, placing following tentage items and making operational and removing the same as well as making the sites as per previous at different function for 3 months at North Campus , University of Delhi] [CEET-5756][2024_DU_815153_1]",Delhi University||Central Office - DU||Engineering - DU,"9,79,840"
52,05-Jul-2024 6:00 PM,22-Jul-2024 1:00 PM,23-Jul-2024 1:00 PM,"[Providing and fixing retro reflective signage board with SS structure at 5 University Road and 12 Cavalry Lane, University of Delhi] [CEET-5755][2024_DU_815088_1]",Delhi University||Central Office - DU||Engineering - DU,"2,59,300"
56,05-Jul-2024 6:00 PM,22-Jul-2024 1:00 PM,23-Jul-2024 1:00 PM,"[P/F fencing in D-7/1 and D-14 and P/F sanitary fittings and renovation work of E-19 Maurice Nagar, University of Delhi.] [CEET-5754][2024_DU_815059_1]",Delhi University||Central Office - DU||Engineering - DU,"9,98,964"
61,05-Jul-2024 6:00 PM,23-Jul-2024 1:00 PM,24-Jul-2024 1:00 PM,"[Providing, placing following tentage items and making operational and removing the same as well as making the sites as per previous at different function for 3 months at North Campus , University of Delhi] [CEET-5756][2024_DU_815153_1]",Delhi University||Central Office - DU||Engineering - DU,"9,79,840"
9,05-Jul-2024 6:45 PM,12-Jul-2024 6:45 PM,13-Jul-2024 6:45 PM,[Supply And Installation Of Bio Sensors] [PUR/CONS/77/24-25][2024_DPHAR_813012_2],Department of Pharmaceuticals||National Institute of Pharmaceutical Education and Research (NIPER) Hyderabad||Stores and Purchase Department - NIPER Hyderabad,NA
10,05-Jul-2024 6:45 PM,12-Jul-2024 6:45 PM,13-Jul-2024 6:45 PM,[Supply And Installation Of Spare Parts of Sprayer dryer] [CONS/241/23-24][2024_DPHAR_811148_2],Department of Pharmaceuticals||National Institute of Pharmaceutical Education and Research (NIPER) Hyderabad||Stores and Purchase Department - NIPER Hyderabad,NA
30,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[SITC of 2 nos 2.0TR , 1 no. 2TR and 2 nos 1.5TR Split type Air Conditioner (AC) units at Postal Civil circle, 6th floor, Visitors room, 3rd floor Meghdoot Bhawan and CEPT, Bihar Circle] [04 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815214_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","4,33,723"
42,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[Provision of EI , Fans and LAN cabling work at new construction temporary shed hall and toilet at Motihari Court SO.] [5 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815221_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","1,85,349"
55,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[Repairing/ renovation of Internal EI, Illumination, for interior work at Post Shopee, Patna GPO] [6 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815229_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","1,83,728"
97,05-Jul-2024 5:00 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,"[Renovation in the chamber of Sr. DDG PAF, Room no.-405, at Dak Bhawan, New Delhi.] [03/II/AE/PCSD/NIT/24-25][2024_DOP_815202_1]","Department of Posts||Delhi Circle, Dept. of Posts||Off. of EE(C),Delhi Circle,POST||Postal Civil Division,EE(C),Delhi Circle","2,63,681"
24,05-Jul-2024 6:10 PM,15-Jul-2024 11:00 AM,16-Jul-2024 11:30 AM,[Providing Electrical rewiring for second floor and Electrical maintenance for Ground and First floor of Adoor HO Building SR Kerala] [26/EEE/PED/BGL/2024-25][2024_DOP_815240_1],"Department of Posts||Karnataka Circle,Dept. of Posts||CPMG,Karnataka Circle,Bangalore,POST||EE(Electrical),RMS Bhawan,Bangalore,POST","7,25,642"
14,05-Jul-2024 6:30 PM,11-Jul-2024 4:00 PM,12-Jul-2024 4:30 PM,[IMPROVEMENT OF BCL BLOCK AT BOP KHANDUA OF 115 BN BSF UNDER SHQ BSF MALDA SH ELECTRICAL INSTALLATION AND FANS] [39/ENGG (ELECT)/SHQ-MLD/2023-24][2024_BSF_813940_2],"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA","91,351"
16,05-Jul-2024 6:30 PM,11-Jul-2024 4:00 PM,12-Jul-2024 4:30 PM,[IMPROVEMENT OF BCL BLOCK AT BOP DAULATPUR OF 115 BN BSF UNDER SHQ BSF MALDA SH ELECTRICAL INSTALLATION AND FANS] [38/ENGG (ELECT)/SHQ-MLD/2023-24][2024_BSF_813911_2],"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA","1,13,179"
95,05-Jul-2024 5:00 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:00 PM,"[Replacement of Batteries for 2 X 100 KVA UPS system of CRF Building, Sonipat Campus] [IITD/WORKS (SP-4690)/2024][2024_IIT_815200_1]",Director-Indian Institute of Technology(IIT Delhi)||Dy.Registrar(Stores) Central Store Purchase Section-IIT Delhi,"7,68,264"
60,05-Jul-2024 6:00 PM,15-Jul-2024 2:00 PM,16-Jul-2024 3:00 PM,[High Speed Diesel Oil] [DPS/MRPU/1/5/9600-RT3][2024_DPS_815065_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
71,05-Jul-2024 5:45 PM,18-Jul-2024 2:00 PM,19-Jul-2024 3:00 PM,[Spares for Scanning Electron Microscope for model EVO182 as per technical specification annexure enclosed] [DPS/MRPU/1/2/11114][2024_DPS_812946_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
74,05-Jul-2024 5:45 PM,18-Jul-2024 2:00 PM,19-Jul-2024 3:00 PM,[Dry Scroll Vacuum Pumps as per technical specification annexure attached. ] [DPS/MRPU/1/2/14880][2024_DPS_812991_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
54,05-Jul-2024 6:00 PM,26-Jul-2024 12:00 PM,29-Jul-2024 2:00 PM,[ Replacement of Cooling Tower at EIB Chennai] [DC/8590-000-PB-T-1644/251][2024_EIL_815156_1],"Engineers India Limited,MoPNG||Head Office-Delhi,EIL,MoPNG",NA
96,05-Jul-2024 5:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[CAMC for 40 MT ELWB at FSD Maddur] [CAMC for 40 MT ELWB at FSD Maddur][2024_FCI_815021_1],"Food Corporation of India||Regional Office,Karnataka,FCI,MFPD||DO-Mysore_KN_FCI","65,200"
73,05-Jul-2024 5:45 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[ARMO civil works for the year 2024 2025 Systematic Maintenance of Railway Siding at FSD Peelamedu ] [07/Engg/C/RO-TN/2024-25 SMRS PLMD][2024_FCI_815230_1],"Food Corporation of India||Regional Office,Tamilnadu,FCI,MFPD||Information Technology Dn,TN,FCI","41,24,777"
94,05-Jul-2024 5:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[PROCUREMENT OF EXTRA DRONE BATTERIES] [HURL/HQ/CS439][2024_HURL_815199_1],Hindustan Urvarak and Rasayan Limited||HQ-Delhi - HURL,NA
43,05-Jul-2024 6:00 PM,12-Jul-2024 3:00 PM,13-Jul-2024 3:30 PM,"[Comprehensive Annual Maintenance Contract for 4 nos. of Passenger lifts installed at LTC (Between D and E Block), FPM, Executive Residence-3, and SR-16 building at IIM Indore] [IIMI/Estate/12/2024/217 File No. 497][2024_IIMID_815198_1]",Indian Institute of Management Indore||Project,"4,13,312"
1,05-Jul-2024 6:55 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:05 PM,[Beautification of guest rooms ] [IISER/24-25/SE/MISC-08][2024_IISRM_814883_1],Indian Institute of Science Education and Research - Mohali,"4,95,445"
51,05-Jul-2024 6:00 PM,26-Jul-2024 2:30 PM,27-Jul-2024 3:30 PM,[Supply of Bacillus Subtilis Single Gene deletion Library-1671] [IISERM(1671)24/25-Pur][2024_IISRM_815090_1],Indian Institute of Science Education and Research - Mohali,NA
39,05-Jul-2024 6:00 PM,25-Jul-2024 3:00 PM,26-Jul-2024 3:30 PM,[Supply and Installation of Phase Sensing System at IIT Bhilai] [IITBh/Goods/Phy/2024-25/061 ][2024_IITB_815172_1],Indian Institute of Technology Bhilai||Stores and Purchase - IIT Bhilai,NA
64,05-Jul-2024 6:00 PM,25-Jul-2024 3:00 PM,26-Jul-2024 3:30 PM,[Supply and Installation of Phase Sensing System at IIT Bhilai] [IITBh/Goods/Phy/2024-25/061 ][2024_IITB_815172_1],Indian Institute of Technology Bhilai||Stores and Purchase - IIT Bhilai,NA
34,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
50,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
63,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
17,05-Jul-2024 6:30 PM,15-Jul-2024 2:00 PM,16-Jul-2024 3:30 PM,[Upgradation of lighting arrangement by replacing defective metal halide lights with LED flood lights and additional lights for net practice area in cricket ground no. 1 at IITG campus] [IITG/IPM/NIT/R/2024-25/16][2024_IITG_815247_1],Indian Institute of Technology Guwahati||Administration - IITG||Engineer Section - IITG,"5,71,673"
